Date, Time, System Timestamp,Angle Pitch, Angle Roll, Angle Yaw, Pitch Reference, Roll Reference, Yaw Reference, Ang.vel. Pitch, Ang.vel. Roll, Ang.vel. Yaw, Total acc. X, Total acc. Y, Total acc. Z, Trans. acc. X, Trans. acc. Y, Trans. acc. Z, Total acc., Height, dHeight, Height reference, dHeight reference,Latitude, Longitude, Height, Speed x, Speed y, Horizontal accuracy, GPS Status,Battery 1, Battery 2, Status, FlightMode,Pressure, Temp. Gyro, Temp. ADC,Pitch, Roll, Yaw, Thrust,debug1,debug2,debug3,debug4
17.7.2015,30:35.3,34,0.064,-0.77,176.83,0.189,-0.963,176.452,-19,18,28,0.003,0.017,-0.965,0.004,0.003,0.001,0.965,0.391,0.003,0.358,-0.115,39.680584,-75.7523086,3.714,0,0,0.61,-8957,11.765,0,0,7,132,32481,13990,0,0,0,1,0,0,0,0
17.7.2015,30:35.4,34,0.091,-0.802,176.823,0.235,-0.923,176.062,-61,0,-2,0.004,0.016,-0.962,0.004,-0.001,0.002,0.962,0.388,0.001,0.36,-0.016,39.680584,-75.7523086,3.714,0,0,0.61,-8957,11.764,0,0,7,135,32481,13990,0,0,0,1,0,0,0,0
17.7.2015,30:35.5,34,0.107,-0.8,176.8,0.206,-0.917,176.062,21,-27,-38,0.004,0.016,-0.964,0.002,0,-0.001,0.964,0.393,0.002,0.481,1.202,39.680584,-75.7523086,3.714,0,0,0.61,-8957,11.763,0,0,7,135,32481,13990,0,0,0,1,0,0,0,0
17.7.2015,30:35.6,34,0.166,-0.79,176.798,0.349,-0.705,175.792,-21,-48,8,0.006,0.012,-0.965,0.002,0,0,0.965,0.399,0.006,0.359,-1.233,39.680584,-75.7523086,3.712,-0.01,0.01,0.61,-8957,11.764,0,0,7,134,32481,13990,0,0,0,1,0,0,0,0
17.7.2015,30:35.7,34,0.188,-0.76,176.763,0.349,-0.734,175.682,-52,-36,42,0.006,0.013,-0.965,0.002,0.001,-0.001,0.965,0.393,0.002,0.362,0.029,39.680584,-75.7523086,3.712,-0.01,0.01,0.61,-8957,11.761,0,0,7,132,32481,13990,0,0,0,1,0,0,0,0
17.7.2015,30:35.7,34,0.206,-0.787,176.74,0.206,-0.814,176.612,17,46,7,0.004,0.014,-0.963,-0.003,0.001,0.002,0.963,0.39,0.001,0.365,0.053,39.6805841,-75.7523086,3.71,0,0.01,0.61,-8957,11.759,0,0,7,134,32481,13990,0,0,0,1,0,0,0,0
17.7.2015,30:35.8,34,0.236,-0.799,176.722,0.252,-1.049,176.672,-7,7,-47,0.004,0.018,-0.964,-0.001,0.004,0.001,0.964,0.388,0,0.405,0.415,39.6805841,-75.7523086,3.71,0,0.01,0.61,-8957,11.766,0,0,7,133,32481,13990,0,0,0,1,0,0,0,0
17.7.2015,30:35.9,34,0.206,-0.824,176.673,0.252,-0.734,176.942,40,-15,-3,0.004,0.013,-0.964,0.001,-0.003,0.001,0.964,0.405,0.009,0.357,-1.454,39.6805841,-75.7523085,3.713,0.02,0.01,0.61,-8957,11.762,0,0,7,136,32481,13990,0,0,0,1,0,0,0,0
17.7.2015,30:36.0,34,0.243,-0.835,176.673,0.241,-0.871,176.782,-41,-10,-41,0.004,0.015,-0.963,-0.001,0,0.002,0.963,0.399,0.004,0.367,-0.016,39.6805841,-75.7523085,3.713,0.02,0.01,0.61,-8957,11.763,0,0,7,133,32481,13990,0,0,0,1,0,0,0,0
17.7.2015,30:36.1,34,0.243,-0.835,176.673,0.241,-0.871,176.782,-41,-10,-41,0.004,0.015,-0.963,-0.001,0,0.002,0.963,0.399,0.004,0.367,-0.016,39.6805841,-75.7523085,3.713,0.02,0.01,0.61,-8957,11.764,0,0,7,130,32481,13990,0,0,0,1,0,0,0,0
17.7.2015,30:36.1,34,0.275,-0.888,176.671,0.475,-1.043,176.942,-21,-25,-47,0.008,0.018,-0.964,0.003,0.001,0.001,0.964,0.392,0.003,0.371,0.047,39.6805841,-75.7523085,3.716,0,0,0.61,-8957,11.764,0,0,7,133,32481,13990,0,0,0,1,0,0,0,0
17.7.2015,30:36.2,34,0.304,-0.865,176.671,0.298,-0.659,176.122,17,-35,-27,0.005,0.011,-0.967,-0.003,-0.004,-0.001,0.967,0.392,0.003,0.463,0.945,39.6805841,-75.7523085,3.716,0,0,0.61,-8957,11.761,0,0,7,74,32481,13989,0,0,0,1,0,0,0,0
17.7.2015,30:36.3,34,0.278,-0.835,176.671,0.332,-0.825,176.942,14,9,-27,0.006,0.014,-0.963,0.001,0,0.002,0.963,0.402,0.008,0.473,1.044,39.6805841,-75.7523085,3.716,0,0,0.61,-8957,11.757,0,0,7,137,32481,13989,0,0,0,1,0,0,0,0
17.7.2015,30:36.4,34,0.3,-0.895,176.668,0.332,-1.106,176.832,10,9,14,0.006,0.019,-0.962,-0.002,0.003,0.002,0.962,0.395,0.003,0.361,0.052,39.6805842,-75.7523084,3.717,0,0.02,0.61,-8957,11.761,0,0,7,133,32481,13989,0,0,0,1,0,0,0,0
17.7.2015,30:36.5,34,0.302,-0.901,176.669,0.43,-0.871,177.112,-15,-1,9,0.007,0.015,-0.968,0,-0.001,-0.003,0.968,0.391,0.002,0.364,0.07,39.6805842,-75.7523084,3.717,0,0.02,0.61,-8957,11.763,0,0,7,133,32481,13989,0,0,0,1,0,0,0,0
17.7.2015,30:36.7,34,0.281,-0.919,176.666,0.252,-1.072,177.052,20,11,-10,0.004,0.019,-0.965,0,0.001,0,0.965,0.397,0.006,0.464,0.933,39.6805841,-75.7523084,3.725,-0.01,0,0.61,-8957,11.762,0,0,7,131,32481,13989,0,0,0,1,0,0,0,0
17.7.2015,30:36.7,34,0.267,-0.898,176.669,0.378,-0.9,176.942,-24,-27,57,0.007,0.016,-0.964,0.002,0,0.001,0.964,0.4,0.006,0.373,-0.882,39.6805841,-75.7523084,3.729,0,0.01,0.61,-8957,11.761,0,0,7,133,32481,13989,0,0,0,1,0,0,0,0
17.7.2015,30:36.8,34,0.296,-0.888,176.669,0.321,-0.98,176.942,12,28,1,0.006,0.017,-0.963,0,0.002,0.001,0.963,0.397,0.004,0.372,-0.01,39.6805841,-75.7523084,3.729,0,0.01,0.61,-8957,11.761,0,0,7,137,32481,13989,0,0,0,1,0,0,0,0
17.7.2015,30:36.9,34,0.296,-0.888,176.669,0.321,-0.98,176.942,12,28,1,0.006,0.017,-0.963,0,0.002,0.001,0.963,0.397,0.004,0.372,-0.01,39.6805841,-75.7523084,3.729,0,0.01,0.61,-8957,11.764,0,0,7,136,32481,13989,0,0,0,1,0,0,0,0
17.7.2015,30:36.9,34,0.296,-0.888,176.669,0.321,-0.98,176.942,12,28,1,0.006,0.017,-0.963,0,0.002,0.001,0.963,0.397,0.004,0.372,-0.01,39.6805841,-75.7523084,3.729,0,0.01,0.61,-8957,11.764,0,0,7,137,32481,13989,0,0,0,1,0,0,0,0
17.7.2015,30:37.0,34,0.296,-0.888,176.669,0.321,-0.98,176.942,12,28,1,0.006,0.017,-0.963,0,0.002,0.001,0.963,0.397,0.004,0.372,-0.01,39.6805841,-75.7523083,3.733,-0.01,-0.01,0.61,-8957,11.766,0,0,7,137,32481,13989,0,0,0,1,0,0,0,0
