Date, Time, System Timestamp,Angle Pitch, Angle Roll, Angle Yaw, Pitch Reference, Roll Reference, Yaw Reference, Ang.vel. Pitch, Ang.vel. Roll, Ang.vel. Yaw, Total acc. X, Total acc. Y, Total acc. Z, Trans. acc. X, Trans. acc. Y, Trans. acc. Z, Total acc., Height, dHeight, Height reference, dHeight reference,Latitude, Longitude, Height, Speed x, Speed y, Horizontal accuracy, GPS Status,Battery 1, Battery 2, Status, FlightMode,Pressure, Temp. Gyro, Temp. ADC,Pitch, Roll, Yaw, Thrust,debug1,debug2,debug3,debug4
17.7.2015,33:10.9,91,-3.138,0.266,171.359,-2.998,0.367,171.492,26,17,3,-0.052,-0.006,-0.979,0.002,-0.002,-0.004,0.98,0.924,0.014,0.889,-1.039,39.6805712,-75.7523239,4.591,0.01,0.03,0.9,-8957,11.672,0,0,7,160,32757,14098,-4,0,0,1,0,0,0,0
17.7.2015,33:11.0,91,-3.137,0.262,171.361,-3.153,-0.04,170.752,44,-11,-26,-0.055,0.001,-0.974,0,0.005,0.001,0.976,0.922,0.013,0.897,-0.471,39.6805712,-75.7523239,4.591,0.01,0.03,0.9,-8957,11.667,0,0,7,159,32757,14098,-4,0,0,1,0,0,0,0
17.7.2015,33:11.0,91,-3.141,0.316,171.352,-3.296,0.229,170.522,-8,-44,33,-0.058,-0.004,-0.976,-0.003,0.003,-0.001,0.977,0.929,0.014,0.9,-1.009,39.6805711,-75.752324,4.581,0.01,0.03,0.9,-8957,11.666,0,0,7,160,32757,14101,-4,0,0,1,0,0,0,0
17.7.2015,33:11.1,91,-3.141,0.316,171.352,-3.296,0.229,170.522,-8,-44,33,-0.058,-0.004,-0.976,-0.003,0.003,-0.001,0.977,0.929,0.014,0.9,-1.009,39.6805711,-75.7523239,4.58,0.03,0.04,0.9,-8957,11.666,0,0,7,157,32759,14101,-4,0,0,1,0,0,0,0
17.7.2015,33:11.3,91,-3.103,0.271,171.352,-3.176,0.304,170.752,-12,-62,-41,-0.055,-0.005,-0.977,-0.002,-0.002,-0.001,0.979,0.923,0.012,0.897,-0.032,39.6805711,-75.7523239,4.58,0.03,0.04,0.9,-8957,11.665,0,0,7,157,32759,14101,-4,0,0,1,0,0,0,0
17.7.2015,33:11.4,91,-3.089,0.251,171.353,-3.182,0.223,171.432,26,23,8,-0.056,-0.004,-0.975,-0.003,0,0.002,0.976,0.938,0.018,0.906,-1.198,39.6805711,-75.7523239,4.58,0.03,0.04,0.9,-8957,11.665,0,0,7,159,32760,14099,-4,0,0,1,0,0,0,0
17.7.2015,33:11.5,91,-3.089,0.251,171.353,-3.182,0.223,171.432,26,23,8,-0.056,-0.004,-0.975,-0.003,0,0.002,0.976,0.938,0.018,0.906,-1.198,39.6805711,-75.7523239,4.58,0.03,0.04,0.9,-8957,11.667,0,0,7,156,32760,14099,-4,0,0,1,0,0,0,0
17.7.2015,33:11.6,91,-3.089,0.251,171.353,-3.182,0.223,171.432,26,23,8,-0.056,-0.004,-0.975,-0.003,0,0.002,0.976,0.938,0.018,0.906,-1.198,39.680571,-75.752324,4.584,-0.01,0.03,0.9,-8957,11.669,0,0,7,158,32762,14099,-4,0,0,1,0,0,0,0
17.7.2015,33:11.7,91,-3.086,0.233,171.357,-3.049,-0.006,171.542,15,28,-14,-0.053,0,-0.974,0,0.004,0.001,0.976,0.936,0.012,1.021,1.063,39.680571,-75.752324,4.584,-0.01,0.03,0.9,-8957,11.666,0,0,7,155,32763,14101,-4,0,0,1,0,0,0,0
17.7.2015,33:11.7,91,-3.086,0.233,171.357,-3.049,-0.006,171.542,15,28,-14,-0.053,0,-0.974,0,0.004,0.001,0.976,0.936,0.012,1.021,1.063,39.6805709,-75.7523239,4.591,0.05,0.03,0.9,-8957,11.665,0,0,7,156,32763,14101,-4,0,0,1,0,0,0,0
